公司,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,(單位:億元)
年/月,2023/12,2023/12,2023/09,2023/09,2023/06,2023/06,2023/03,2023/03,
季別,4,4,3,3,2,2,1,1,
合併(Y/N),Y,Y,Y,Y,Y,Y,Y,Y,
月份,12,12,9,9,6,6,3,3,
幣別,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,
營業收入,215.1,48.31,154.5,34.49,87.96,23.02,32.92,11.95,
營業成本,182.7,29.66,131.3,21.86,74.36,14.35,27.09,7.38,
營業毛利,32.41,18.65,23.22,12.63,13.6,8.67,5.82,4.57,
營業毛利淨額,32.41,18.65,23.22,12.63,13.6,8.67,5.82,4.57,
推銷費用,-,2.83,-,1.99,-,1.27,-,0.62,
管理費用,-,11.21,-,8.15,-,5.33,-,2.59,
營業費用,23.08,14.04,16.94,10.14,10.41,6.61,4.79,3.21,
其他收益及費損合計,-,1.65,-,1.48,-,0.21,-,0.071,
營業利益,9.34,6.26,6.28,3.96,3.19,2.27,1.04,1.44,
利息收入,0.26,0.025,0.16,0.02,0.11,0.016,0.032,0.008,
其他收入,0.5,0.32,0.31,0.24,0.22,0.15,0.092,0.07,
其他利益及損失,5.27,-0.088,0.089,-0.014,0.059,-0.009,0.003,-0.005,
財務成本,0.27,1.98,0.22,1.5,0.15,1.01,0.091,0.51,
採用權益法認列之關聯企業及合資損益之份額,0.091,0.19,0,0.076,0,0.042,0,0.007,
業外損益合計,5.85,-1.53,0.35,-1.18,0.23,-0.82,0.036,-0.43,
稅前淨利,15.19,4.73,6.62,2.78,3.42,1.46,1.07,1,
所得稅費用,0.84,0.59,0.48,0.25,0.11,0.25,0.078,0.19,
繼續營業單位稅後損益,14.35,4.14,6.14,2.53,3.31,1.21,0.99,0.82,
合併稅後淨利,14.35,4.14,6.14,2.53,3.31,1.21,0.99,0.82,
歸屬於非控制權益之淨利,0.43,-,0.32,-,0.13,-,0.063,-,
稅後淨利,13.92,4.14,5.82,2.53,3.18,1.21,0.93,0.82,
確定福利計畫之再衡量數,-0.042,0.005,0.042,0,0.52,-,0.37,-,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-0.3,-,0,0.55,0,0.079,0,0.027,
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,0.009,0.53,0.042,0.55,0.52,0.079,0.37,0.027,
與不重分類之項目相關之所得稅,-0.008,0.001,-0.022,-,-0.11,-,-0.009,-,
不重分類至損益之項目合計,-0.33,0.53,-0.022,-,-0.11,-,-0.009,-,
國外營運機構財務報表換算之兌換差額,-0.073,-,0.021,0.55,0.41,0.079,0.36,0.027,
後續可能重分類至損益之項目合計,-0.073,-,6.16,3.08,3.72,1.29,1.35,0.85,
其他綜合損益合計,-0.4,0.53,5.84,3.08,3.53,1.29,1.24,0.85,
綜合損益,13.95,4.67,0.32,-,0.19,-,0.11,-,
綜合損益–歸屬於母公司,13.52,4.67,6.4,2.76,3.54,1.32,1.08,0.9,
綜合損益–歸屬於非控制權益,0.44,-,,,,,,,
每股稅後盈餘(元),15.21,4.52,,,,,,,
