公司,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,(單位:億元)
年/月,2023/12,2023/12,2023/09,2023/09,2023/06,2023/06,2023/03,2023/03,
季別,4,4,3,3,2,2,1,1,
合併(Y/N),Y,Y,Y,Y,Y,Y,Y,Y,
月份,12,12,9,9,6,6,3,3,
幣別,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,
現金及約當現金,36.74,3.67,40.61,1.39,36.57,1.06,37.83,0.96,
透過損益按公允價值衡量之金融資產–流動,0,4.4,0,4.04,0,2.98,0.00,3.03,
按攤銷後成本衡量之金融資產–流動,-,1.56,-,0.73,-,1.15,-,1.52,
應收票據,0.24,0.002,0.23,0.002,0.14,0.001,0.16,0.00,
應收帳款,6.69,1.31,7.14,0.98,7.08,0.66,5.67,0.60,
應收帳款–關係人,-,0.002,-,0.002,-,0.011,-,0.06,
其他應收款,-,0.027,-,0.017,-,0.011,-,0.02,
其他應收款–關係人,-,0.031,-,0.027,-,0.024,-,0.02,
應收款項合計,6.93,1.37,7.37,1.03,7.22,0.71,5.82,0.71,
本期所得稅資產,0.023,0.008,0.017,0.007,0.013,0.007,0.02,0.01,
存貨,0,0.84,0.021,0.81,0.016,0.78,0.02,0.77,
預付款項,20.16,0.52,20.98,0.45,17.91,0.47,10.60,0.35,
其他流動資產,1.76,-,1.83,-,1.77,-,1.66,-,
流動資產合計,65.61,12.36,70.83,8.44,63.5,7.16,55.95,7.34,
透過其他綜合損益按公允價值衡量之金融資產–非流動,3.06,-,3.57,0,4.03,-,3.91,-,
採用權益法之投資,7.06,1.34,0,1.24,0,0.74,0.00,0.65,
投資性不動產,-,5.8,-,5.8,-,5.8,-,5.81,
投資合計,10.12,7.14,3.57,7.04,4.03,6.54,3.91,6.46,
固定資產合計,4.44,9.5,3.97,9.39,3.98,9.56,3.91,9.59,
使用權資產,9.43,99.6,8.9,102.1,7.87,104.7,7.84,107.30,
無形資產合計,0.21,0.064,0.2,0.07,0.2,0.077,0.21,0.08,
遞延所得稅資產,2.7,3.98,2.97,4.32,3.24,4.29,3.27,4.35,
其他資產–其他,2.22,3.6,1.8,3.7,1.35,3.68,1.26,3.81,
其他資產合計,2.22,3.6,1.8,3.7,1.35,3.68,1.26,3.81,
非流動資產合計,29.11,123.9,21.41,126.6,20.67,128.8,20.40,131.50,
資產總額,94.72,136.2,92.24,135.1,84.17,136,76.36,138.90,
短期借款,0,-,0.1,-,0.1,0.5,0.50,0.16,
合約負債–流動,27.29,5.36,27.48,4.35,27.76,4.66,22.96,4.83,
應付票據,0.71,0.037,1.01,0.002,0.58,0.27,0.53,0.61,
應付帳款,11.17,2.06,13.31,1.85,10.23,1.76,7.81,1.95,
其他應付款,3.28,5.55,2.61,4.41,2.05,3.45,0.95,3.88,
其他應付款–關係人,-,0.042,-,0.034,-,0.031,-,0.03,
應付款項合計,15.16,7.69,16.92,6.3,12.86,5.51,9.30,6.47,
本期所得稅負債,0.044,0.045,0.1,0.035,0.001,0.007,0.00,0.01,
租賃負債–流動,1.4,9.96,1.3,9.87,1.28,9.8,1.20,9.66,
其他流動負債,2.22,1.01,3.44,1.16,3.59,1.14,3.66,1.12,
流動負債合計,46.11,24.07,49.34,21.72,45.59,21.61,37.63,22.25,
合約負債–非流動,0.31,-,0.35,-,0.35,-,0.35,-,
長期借款,0.51,1.2,1.3,1.56,1.56,1.82,4.29,2.08,
遞延所得稅負債,0.004,-,0,0,0,0,0.00,-,
租賃負債–非流動,8.66,98,8.19,100.5,7.09,103,7.14,105.40,
其他負債–其他,0.9,1.11,0.86,1.02,0.82,1.05,0.81,1.07,
其他負債合計,0.9,1.11,0.86,1.02,0.82,1.05,0.81,1.07,
